,sub01_100c.csv,sub02_100c.csv,sub03_100c.csv,sub04_100c.csv,sub05_100c.csv
random100s_1.csv,0,0,0,0,0
random100s_2.csv,0,0,0,0,0
stationary100s.csv,0,0,0,0,0
sub01_100c.csv,0.9999999999999991,0,0.8295251274250501,0.918002987753503,0.8721854879111759
sub01_120c.csv,0.05411790791302444,0,0.05099910314225599,0.02921594495410095,0.053278117220872535
sub01_60c_1.csv,0,0,0,0,0
sub01_60c_2.csv,0,0,0,0,0
sub02_100c.csv,0.8310383297298252,0,0.7660029018117039,0.8796112277378185,0.6863950777533125
sub02_120c.csv,0.04504727380412009,0,0.046167446210505704,0.06604181389649731,0.027140960368253322
sub02_60c.csv,0,0,0,0,0
sub03_100c.csv,0.8295251274250501,0,0.9999999999999991,0.8979589879842336,0.8009988562852829
sub03_120c.csv,0.05996385702416277,0,0.040993285532309895,0.04055600723418588,0.050907962589505494
sub04_100c.csv,0.918002987753503,0,0.8979589879842336,0.9999999999999998,0.8312956617043029
sub04_120c.csv,0.10514264365610292,0,0.038992463702153424,0.03655845496099952,0.050395834874068
sub05_100c.csv,0.8721854879111759,0,0.8009988562852829,0.8312956617043029,1.0
sub05_120c.csv,0.06855692168314591,0,0.08097356832591167,0.02660245846524557,0.08336199507109053
