,sub01_100c.csv,sub02_100c.csv,sub03_100c.csv,sub04_100c.csv,sub05_100c.csv
sub01_100c.csv,1,0.926052215,0.945462858,0.926528344,0.958818305
sub02_100c.csv,0.926052215,1,0.930220056,0.803601817,0.903652232
sub03_100c.csv,0.945462858,0.930220056,1,0.878794289,0.944582682
sub04_100c.csv,0.926528344,0.803601817,0.878794289,1,0.838881929
sub05_100c.csv,0.958818305,0.903652232,0.944582682,0.838881929,1
sub01_120c.csv,0.358187856,0.345488192,0.332401227,0.290798313,0.338663218
sub02_120c.csv,0.342315199,0.430874292,0.328038068,0.40153137,0.266097655
sub03_120c.csv,0.287278842,0.281783673,0.219205465,0.308288586,0.245625695
sub04_120c.csv,0.448456541,0.280953128,0.27805544,0.320940369,0.313407726
sub05_120c.csv,0.394431381,0.44500474,0.394874736,0.279070743,0.408814775
sub01_60c_1.csv,0,0,0,0,0
sub01_60c_2.csv,0,0,0,0,0
sub02_60c.csv,0,0,0,0,0
random100s_1.csv,0,0,0,0,0
random100s_2.csv,0,0,0,0,0
stationary100s.csv,0,0,0,0,0
